ICD10_PHEWAS_CODE;ICD9-CM_PHEWAS_CODE;PHEWAS_STRING;EXCLUSION
E642;267;ASCORBIC ACID DEFICIENCY;260-269.99
E511;265;Thiamine and niacin deficiency states;260-269.99
E512;265;Thiamine and niacin deficiency states;260-269.99
E519;265;Thiamine and niacin deficiency states;260-269.99
E52;265;Thiamine and niacin deficiency states;260-269.99
E518;265;Thiamine and niacin deficiency states;260-269.99
E51;265;Thiamine and niacin deficiency states;260-269.99
E640;263;Other and unspecified protein-calorie malnutrition;260-269.99
E441;263;Other and unspecified protein-calorie malnutrition;260-269.99
E440;263;Other and unspecified protein-calorie malnutrition;260-269.99
E45;263;Other and unspecified protein-calorie malnutrition;260-269.99
E46;263;Other and unspecified protein-calorie malnutrition;260-269.99
E64;263;Other and unspecified protein-calorie malnutrition;260-269.99
E44;263;Other and unspecified protein-calorie malnutrition;260-269.99
E550;268;Vitamin D deficiency;260-269.99
E643;268;Vitamin D deficiency;260-269.99
E559;268;Vitamin D deficiency;260-269.99
E55;268;Vitamin D deficiency;260-269.99
M832;268;Vitamin D deficiency;260-269.99
M833;268;Vitamin D deficiency;260-269.99
M839;268;Vitamin D deficiency;260-269.99
M834;268;Vitamin D deficiency;260-269.99
M838;268;Vitamin D deficiency;260-269.99
M835;268;Vitamin D deficiency;260-269.99
M830;268;Vitamin D deficiency;260-269.99
M831;268;Vitamin D deficiency;260-269.99
M83;268;Vitamin D deficiency;260-269.99
E508;264;Vitamin A deficiency;260-269.99
E500;264;Vitamin A deficiency;260-269.99
E502;264;Vitamin A deficiency;260-269.99
E503;264;Vitamin A deficiency;260-269.99
E504;264;Vitamin A deficiency;260-269.99
E505;264;Vitamin A deficiency;260-269.99
E506;264;Vitamin A deficiency;260-269.99
E507;264;Vitamin A deficiency;260-269.99
E501;264;Vitamin A deficiency;260-269.99
E641;264;Vitamin A deficiency;260-269.99
E509;264;Vitamin A deficiency;260-269.99
E50;264;Vitamin A deficiency;260-269.99
E41;260;severe protein-calorie malnutrition;260-269.99
E40;260;severe protein-calorie malnutrition;260-269.99
E42;260;severe protein-calorie malnutrition;260-269.99
E43;260;severe protein-calorie malnutrition;260-269.99
E561;269;Other nutritional deficiencies;260-269.99
E568;269;Other nutritional deficiencies;260-269.99
E614;269;Other nutritional deficiencies;260-269.99
E613;269;Other nutritional deficiencies;260-269.99
E610;269;Other nutritional deficiencies;260-269.99
E617;269;Other nutritional deficiencies;260-269.99
E618;269;Other nutritional deficiencies;260-269.99
E58;269;Other nutritional deficiencies;260-269.99
E59;269;Other nutritional deficiencies;260-269.99
E60;269;Other nutritional deficiencies;260-269.99
E631;269;Other nutritional deficiencies;260-269.99
E611;269;Other nutritional deficiencies;260-269.99
E612;269;Other nutritional deficiencies;260-269.99
E615;269;Other nutritional deficiencies;260-269.99
E638;269;Other nutritional deficiencies;260-269.99
E648;269;Other nutritional deficiencies;260-269.99
E649;269;Other nutritional deficiencies;260-269.99
E616;269;Other nutritional deficiencies;260-269.99
E619;269;Other nutritional deficiencies;260-269.99
E560;269;Other nutritional deficiencies;260-269.99
E630;269;Other nutritional deficiencies;260-269.99
E639;269;Other nutritional deficiencies;260-269.99
E569;269;Other nutritional deficiencies;260-269.99
E63;269;Other nutritional deficiencies;260-269.99
E61;269;Other nutritional deficiencies;260-269.99
E56;269;Other nutritional deficiencies;260-269.99
E740;271;Disorders of carbohydrate transport and metabolism;270-279.99
E730;271;Disorders of carbohydrate transport and metabolism;270-279.99
E731;271;Disorders of carbohydrate transport and metabolism;270-279.99
E779;271;Disorders of carbohydrate transport and metabolism;270-279.99
E744;271;Disorders of carbohydrate transport and metabolism;270-279.99
E743;271;Disorders of carbohydrate transport and metabolism;270-279.99
E738;271;Disorders of carbohydrate transport and metabolism;270-279.99
E748;271;Disorders of carbohydrate transport and metabolism;270-279.99
E771;271;Disorders of carbohydrate transport and metabolism;270-279.99
E749;271;Disorders of carbohydrate transport and metabolism;270-279.99
E741;271;Disorders of carbohydrate transport and metabolism;270-279.99
E742;271;Disorders of carbohydrate transport and metabolism;270-279.99
E739;271;Disorders of carbohydrate transport and metabolism;270-279.99
E778;271;Disorders of carbohydrate transport and metabolism;270-279.99
E73;271;Disorders of carbohydrate transport and metabolism;270-279.99
E74;271;Disorders of carbohydrate transport and metabolism;270-279.99
E872;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E873;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E86;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E877;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E875;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E876;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E870;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E871;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E874;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E878;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E87;276;Disorders of fluid, electrolyte, and acid-base balance;270-279.99
E770;272;Disorders of lipoid metabolism;270-279.99
E713;272;Disorders of lipoid metabolism;270-279.99
E783;272;Disorders of lipoid metabolism;270-279.99
E782;272;Disorders of lipoid metabolism;270-279.99
E788;272;Disorders of lipoid metabolism;270-279.99
E784;272;Disorders of lipoid metabolism;270-279.99
E755;272;Disorders of lipoid metabolism;270-279.99
E752;272;Disorders of lipoid metabolism;270-279.99
E780;272;Disorders of lipoid metabolism;270-279.99
E781;272;Disorders of lipoid metabolism;270-279.99
E789;272;Disorders of lipoid metabolism;270-279.99
E785;272;Disorders of lipoid metabolism;270-279.99
E756;272;Disorders of lipoid metabolism;270-279.99
E881;272;Disorders of lipoid metabolism;270-279.99
E882;272;Disorders of lipoid metabolism;270-279.99
E786;272;Disorders of lipoid metabolism;270-279.99
E753;272;Disorders of lipoid metabolism;270-279.99
E77;272;Disorders of lipoid metabolism;270-279.99
E78;272;Disorders of lipoid metabolism;270-279.99
M140;274;Gout;270-279.99
M109;274;Gout;270-279.99
M100;274;Gout;270-279.99
M102;274;Gout;270-279.99
M104;274;Gout;270-279.99
M14;274;Gout;270-279.99
M10;274;Gout;270-279.99
M103;274;Gout;270-279.99
D472;273;Disorders of plasma protein metabolism;270-279.99
D890;273;Disorders of plasma protein metabolism;270-279.99
R770;273;Disorders of plasma protein metabolism;270-279.99
R772;273;Disorders of plasma protein metabolism;270-279.99
R771;273;Disorders of plasma protein metabolism;270-279.99
R779;273;Disorders of plasma protein metabolism;270-279.99
D891;273;Disorders of plasma protein metabolism;270-279.99
R778;273;Disorders of plasma protein metabolism;270-279.99
C881;273;Disorders of plasma protein metabolism;270-279.99
C882;273;Disorders of plasma protein metabolism;270-279.99
C880;273;Disorders of plasma protein metabolism;270-279.99
R77;273;Disorders of plasma protein metabolism;270-279.99
D89;273;Disorders of plasma protein metabolism;270-279.99
C88;273;Disorders of plasma protein metabolism;270-279.99
E804;277;Other and unspecified disorders of metabolism;270-279.99
E798;277;Other and unspecified disorders of metabolism;270-279.99
E801;277;Other and unspecified disorders of metabolism;270-279.99
E805;277;Other and unspecified disorders of metabolism;270-279.99
E791;277;Other and unspecified disorders of metabolism;270-279.99
I680;277;Other and unspecified disorders of metabolism;270-279.99
E841;277;Other and unspecified disorders of metabolism;270-279.99
E807;277;Other and unspecified disorders of metabolism;270-279.99
E769;277;Other and unspecified disorders of metabolism;270-279.99
H420;277;Other and unspecified disorders of metabolism;270-279.99
E852;277;Other and unspecified disorders of metabolism;270-279.99
E790;277;Other and unspecified disorders of metabolism;270-279.99
E90;277;Other and unspecified disorders of metabolism;270-279.99
E858;277;Other and unspecified disorders of metabolism;270-279.99
E768;277;Other and unspecified disorders of metabolism;270-279.99
E762;277;Other and unspecified disorders of metabolism;270-279.99
E802;277;Other and unspecified disorders of metabolism;270-279.99
D813;277;Other and unspecified disorders of metabolism;270-279.99
E859;277;Other and unspecified disorders of metabolism;270-279.99
E803;277;Other and unspecified disorders of metabolism;270-279.99
E799;277;Other and unspecified disorders of metabolism;270-279.99
E880;277;Other and unspecified disorders of metabolism;270-279.99
D761;277;Other and unspecified disorders of metabolism;270-279.99
D762;277;Other and unspecified disorders of metabolism;270-279.99
E800;277;Other and unspecified disorders of metabolism;270-279.99
D760;277;Other and unspecified disorders of metabolism;270-279.99
E889;277;Other and unspecified disorders of metabolism;270-279.99
E760;277;Other and unspecified disorders of metabolism;270-279.99
E761;277;Other and unspecified disorders of metabolism;270-279.99
E763;277;Other and unspecified disorders of metabolism;270-279.99
E851;277;Other and unspecified disorders of metabolism;270-279.99
E850;277;Other and unspecified disorders of metabolism;270-279.99
E854;277;Other and unspecified disorders of metabolism;270-279.99
E806;277;Other and unspecified disorders of metabolism;270-279.99
D763;277;Other and unspecified disorders of metabolism;270-279.99
E888;277;Other and unspecified disorders of metabolism;270-279.99
D815;277;Other and unspecified disorders of metabolism;270-279.99
E853;277;Other and unspecified disorders of metabolism;270-279.99
E85;277;Other and unspecified disorders of metabolism;270-279.99
D76;277;Other and unspecified disorders of metabolism;270-279.99
E76;277;Other and unspecified disorders of metabolism;270-279.99
E80;277;Other and unspecified disorders of metabolism;270-279.99
E79;277;Other and unspecified disorders of metabolism;270-279.99
E88;277;Other and unspecified disorders of metabolism;270-279.99
H42;277;Other and unspecified disorders of metabolism;270-279.99
I68;277;Other and unspecified disorders of metabolism;270-279.99
E840;277;Other and unspecified disorders of metabolism;270-279.99
E840;277;Other and unspecified disorders of metabolism;270-279.99
E848;277;Other and unspecified disorders of metabolism;270-279.99
E848;277;Other and unspecified disorders of metabolism;270-279.99
E849;277;Other and unspecified disorders of metabolism;270-279.99
E849;277;Other and unspecified disorders of metabolism;270-279.99
E84;277;Other and unspecified disorders of metabolism;270-279.99
E84;277;Other and unspecified disorders of metabolism;270-279.99
E670;278;Other hyperalimentation;270-279.99
E673;278;Other hyperalimentation;270-279.99
E65;278;Other hyperalimentation;270-279.99
E661;278;Other hyperalimentation;270-279.99
E662;278;Other hyperalimentation;270-279.99
E672;278;Other hyperalimentation;270-279.99
E660;278;Other hyperalimentation;270-279.99
E668;278;Other hyperalimentation;270-279.99
E678;278;Other hyperalimentation;270-279.99
E68;278;Other hyperalimentation;270-279.99
E671;278;Other hyperalimentation;270-279.99
E66;278;Other hyperalimentation;270-279.99
E67;278;Other hyperalimentation;270-279.99
E669;278;Other hyperalimentation;270-279.99
E669;278;Other hyperalimentation;270-279.99
E703;270;Disorders of amino-acid transport and metabolism;270-279.99
E728;270;Disorders of amino-acid transport and metabolism;270-279.99
E722;270;Disorders of amino-acid transport and metabolism;270-279.99
E700;270;Disorders of amino-acid transport and metabolism;270-279.99
E708;270;Disorders of amino-acid transport and metabolism;270-279.99
E711;270;Disorders of amino-acid transport and metabolism;270-279.99
E701;270;Disorders of amino-acid transport and metabolism;270-279.99
E729;270;Disorders of amino-acid transport and metabolism;270-279.99
E709;270;Disorders of amino-acid transport and metabolism;270-279.99
E712;270;Disorders of amino-acid transport and metabolism;270-279.99
E720;270;Disorders of amino-acid transport and metabolism;270-279.99
E725;270;Disorders of amino-acid transport and metabolism;270-279.99
E723;270;Disorders of amino-acid transport and metabolism;270-279.99
E724;270;Disorders of amino-acid transport and metabolism;270-279.99
E721;270;Disorders of amino-acid transport and metabolism;270-279.99
E702;270;Disorders of amino-acid transport and metabolism;270-279.99
E710;270;Disorders of amino-acid transport and metabolism;270-279.99
E70;270;Disorders of amino-acid transport and metabolism;270-279.99
E71;270;Disorders of amino-acid transport and metabolism;270-279.99
E72;270;Disorders of amino-acid transport and metabolism;270-279.99
D814;279;Disorders involving the immune mechanism;270-279.99
D820;279;Disorders involving the immune mechanism;270-279.99
D807;279;Disorders involving the immune mechanism;270-279.99
D806;279;Disorders involving the immune mechanism;270-279.99
D819;279;Disorders involving the immune mechanism;270-279.99
D832;279;Disorders involving the immune mechanism;270-279.99
D830;279;Disorders involving the immune mechanism;270-279.99
D831;279;Disorders involving the immune mechanism;270-279.99
D839;279;Disorders involving the immune mechanism;270-279.99
D841;279;Disorders involving the immune mechanism;270-279.99
D821;279;Disorders involving the immune mechanism;270-279.99
D899;279;Disorders involving the immune mechanism;270-279.99
D800;279;Disorders involving the immune mechanism;270-279.99
D824;279;Disorders involving the immune mechanism;270-279.99
D829;279;Disorders involving the immune mechanism;270-279.99
D828;279;Disorders involving the immune mechanism;270-279.99
D823;279;Disorders involving the immune mechanism;270-279.99
D805;279;Disorders involving the immune mechanism;270-279.99
D809;279;Disorders involving the immune mechanism;270-279.99
D822;279;Disorders involving the immune mechanism;270-279.99
D849;279;Disorders involving the immune mechanism;270-279.99
D840;279;Disorders involving the immune mechanism;270-279.99
D816;279;Disorders involving the immune mechanism;270-279.99
D817;279;Disorders involving the immune mechanism;270-279.99
D818;279;Disorders involving the immune mechanism;270-279.99
D838;279;Disorders involving the immune mechanism;270-279.99
D808;279;Disorders involving the immune mechanism;270-279.99
D898;279;Disorders involving the immune mechanism;270-279.99
D848;279;Disorders involving the immune mechanism;270-279.99
D802;279;Disorders involving the immune mechanism;270-279.99
D803;279;Disorders involving the immune mechanism;270-279.99
D804;279;Disorders involving the immune mechanism;270-279.99
D811;279;Disorders involving the immune mechanism;270-279.99
D812;279;Disorders involving the immune mechanism;270-279.99
D810;279;Disorders involving the immune mechanism;270-279.99
D83;279;Disorders involving the immune mechanism;270-279.99
D81;279;Disorders involving the immune mechanism;270-279.99
D82;279;Disorders involving the immune mechanism;270-279.99
D80;279;Disorders involving the immune mechanism;270-279.99
D84;279;Disorders involving the immune mechanism;270-279.99
D801;279;Disorders involving the immune mechanism;270-279.99
E201;275;Disorders of mineral metabolism;270-279.99
E831;275;Disorders of mineral metabolism;270-279.99
E830;275;Disorders of mineral metabolism;270-279.99
E834;275;Disorders of mineral metabolism;270-279.99
E833;275;Disorders of mineral metabolism;270-279.99
E835;275;Disorders of mineral metabolism;270-279.99
E832;275;Disorders of mineral metabolism;270-279.99
E838;275;Disorders of mineral metabolism;270-279.99
E839;275;Disorders of mineral metabolism;270-279.99
E83;275;Disorders of mineral metabolism;270-279.99
D501;280;Iron deficiency anemias;280-289.99
D500;280;Iron deficiency anemias;280-289.99
D509;280;Iron deficiency anemias;280-289.99
D508;280;Iron deficiency anemias;280-289.99
D50;280;Iron deficiency anemias;280-289.99
D62;285;Other and unspecified anemias;280-289.99
D640;285;Other and unspecified anemias;280-289.99
D630;285;Other and unspecified anemias;280-289.99
D638;285;Other and unspecified anemias;280-289.99
D649;285;Other and unspecified anemias;280-289.99
D644;285;Other and unspecified anemias;280-289.99
D643;285;Other and unspecified anemias;280-289.99
D648;285;Other and unspecified anemias;280-289.99
D641;285;Other and unspecified anemias;280-289.99
D642;285;Other and unspecified anemias;280-289.99
D64;285;Other and unspecified anemias;280-289.99
D63;285;Other and unspecified anemias;280-289.99
D731;289;Other diseases of blood and blood-forming organs;280-289.99
I880;289;Other diseases of blood and blood-forming organs;280-289.99
D758;289;Other diseases of blood and blood-forming organs;280-289.99
D738;289;Other diseases of blood and blood-forming organs;280-289.99
D732;289;Other diseases of blood and blood-forming organs;280-289.99
D750;289;Other diseases of blood and blood-forming organs;280-289.99
D730;289;Other diseases of blood and blood-forming organs;280-289.99
D733;289;Other diseases of blood and blood-forming organs;280-289.99
D740;289;Other diseases of blood and blood-forming organs;280-289.99
D752;289;Other diseases of blood and blood-forming organs;280-289.99
D735;289;Other diseases of blood and blood-forming organs;280-289.99
I888;289;Other diseases of blood and blood-forming organs;280-289.99
D751;289;Other diseases of blood and blood-forming organs;280-289.99
I881;289;Other diseases of blood and blood-forming organs;280-289.99
D734;289;Other diseases of blood and blood-forming organs;280-289.99
D759;289;Other diseases of blood and blood-forming organs;280-289.99
D892;289;Other diseases of blood and blood-forming organs;280-289.99
D749;289;Other diseases of blood and blood-forming organs;280-289.99
I889;289;Other diseases of blood and blood-forming organs;280-289.99
D748;289;Other diseases of blood and blood-forming organs;280-289.99
D77;289;Other diseases of blood and blood-forming organs;280-289.99
D75;289;Other diseases of blood and blood-forming organs;280-289.99
C945;289;Other diseases of blood and blood-forming organs;280-289.99
D74;289;Other diseases of blood and blood-forming organs;280-289.99
D73;289;Other diseases of blood and blood-forming organs;280-289.99
I88;289;Other diseases of blood and blood-forming organs;280-289.99
D739;289;Other diseases of blood and blood-forming organs;280-289.99
D512;281;Other deficiency anemias;280-289.99
D520;281;Other deficiency anemias;280-289.99
D521;281;Other deficiency anemias;280-289.99
D529;281;Other deficiency anemias;280-289.99
D539;281;Other deficiency anemias;280-289.99
D513;281;Other deficiency anemias;280-289.99
D528;281;Other deficiency anemias;280-289.99
D531;281;Other deficiency anemias;280-289.99
D538;281;Other deficiency anemias;280-289.99
D518;281;Other deficiency anemias;280-289.99
D530;281;Other deficiency anemias;280-289.99
D532;281;Other deficiency anemias;280-289.99
D510;281;Other deficiency anemias;280-289.99
D511;281;Other deficiency anemias;280-289.99
D519;281;Other deficiency anemias;280-289.99
D52;281;Other deficiency anemias;280-289.99
D53;281;Other deficiency anemias;280-289.99
D51;281;Other deficiency anemias;280-289.99
D599;283;Acquired hemolytic anemias;280-289.99
D590;283;Acquired hemolytic anemias;280-289.99
D592;283;Acquired hemolytic anemias;280-289.99
D596;283;Acquired hemolytic anemias;280-289.99
D593;283;Acquired hemolytic anemias;280-289.99
D598;283;Acquired hemolytic anemias;280-289.99
D591;283;Acquired hemolytic anemias;280-289.99
D594;283;Acquired hemolytic anemias;280-289.99
D595;283;Acquired hemolytic anemias;280-289.99
D59;283;Acquired hemolytic anemias;280-289.99
D684;286;Coagulation defects;280-289.99
D680;286;Coagulation defects;280-289.99
D683;286;Coagulation defects;280-289.99
D689;286;Coagulation defects;280-289.99
D65;286;Coagulation defects;280-289.99
D682;286;Coagulation defects;280-289.99
D67;286;Coagulation defects;280-289.99
D66;286;Coagulation defects;280-289.99
D681;286;Coagulation defects;280-289.99
D688;286;Coagulation defects;280-289.99
D68;286;Coagulation defects;280-289.99
D600;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D610;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D613;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D618;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D609;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D612;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D619;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D611;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D608;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D601;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D60;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D61;284;Aplastic anemia and other bone marrow failure syndromes;280-289.99
D70;288;Diseases of white blood cells;280-289.99
D70;288;Diseases of white blood cells;280-289.99
D721;288;Diseases of white blood cells;280-289.99
D71;288;Diseases of white blood cells;280-289.99
D720;288;Diseases of white blood cells;280-289.99
R72;288;Diseases of white blood cells;280-289.99
D729;288;Diseases of white blood cells;280-289.99
D728;288;Diseases of white blood cells;280-289.99
D72;288;Diseases of white blood cells;280-289.99
D691;287;Purpura and other hemorrhagic conditions;280-289.99
D695;287;Purpura and other hemorrhagic conditions;280-289.99
D690;287;Purpura and other hemorrhagic conditions;280-289.99
D693;287;Purpura and other hemorrhagic conditions;280-289.99
D699;287;Purpura and other hemorrhagic conditions;280-289.99
D692;287;Purpura and other hemorrhagic conditions;280-289.99
D696;287;Purpura and other hemorrhagic conditions;280-289.99
D694;287;Purpura and other hemorrhagic conditions;280-289.99
D698;287;Purpura and other hemorrhagic conditions;280-289.99
D69;287;Purpura and other hemorrhagic conditions;280-289.99
D580;282;Hereditary hemolytic anemias;280-289.99
D581;282;Hereditary hemolytic anemias;280-289.99
D573;282;Hereditary hemolytic anemias;280-289.99
D561;282;Hereditary hemolytic anemias;280-289.99
D562;282;Hereditary hemolytic anemias;280-289.99
D570;282;Hereditary hemolytic anemias;280-289.99
D560;282;Hereditary hemolytic anemias;280-289.99
D552;282;Hereditary hemolytic anemias;280-289.99
D553;282;Hereditary hemolytic anemias;280-289.99
D559;282;Hereditary hemolytic anemias;280-289.99
D550;282;Hereditary hemolytic anemias;280-289.99
D551;282;Hereditary hemolytic anemias;280-289.99
D572;282;Hereditary hemolytic anemias;280-289.99
D589;282;Hereditary hemolytic anemias;280-289.99
D564;282;Hereditary hemolytic anemias;280-289.99
D558;282;Hereditary hemolytic anemias;280-289.99
D582;282;Hereditary hemolytic anemias;280-289.99
D578;282;Hereditary hemolytic anemias;280-289.99
D588;282;Hereditary hemolytic anemias;280-289.99
D568;282;Hereditary hemolytic anemias;280-289.99
D571;282;Hereditary hemolytic anemias;280-289.99
D563;282;Hereditary hemolytic anemias;280-289.99
D569;282;Hereditary hemolytic anemias;280-289.99
D56;282;Hereditary hemolytic anemias;280-289.99
D55;282;Hereditary hemolytic anemias;280-289.99
D58;282;Hereditary hemolytic anemias;280-289.99
D57;282;Hereditary hemolytic anemias;280-289.99
F913;312;Conduct disorders;290-319.99
F630;312;Conduct disorders;290-319.99
F633;312;Conduct disorders;290-319.99
F920;312;Conduct disorders;290-319.99
F638;312;Conduct disorders;290-319.99
F928;312;Conduct disorders;290-319.99
F910;312;Conduct disorders;290-319.99
F919;312;Conduct disorders;290-319.99
F929;312;Conduct disorders;290-319.99
F918;312;Conduct disorders;290-319.99
F631;312;Conduct disorders;290-319.99
F632;312;Conduct disorders;290-319.99
F91;312;Conduct disorders;290-319.99
F63;312;Conduct disorders;290-319.99
F92;312;Conduct disorders;290-319.99
F912;312;Conduct disorders;290-319.99
F639;312;Conduct disorders;290-319.99
F911;312;Conduct disorders;290-319.99
F502;307;Eating disorders;290-319.99
F951;307;Eating disorders;290-319.99
F950;307;Eating disorders;290-319.99
F986;307;Eating disorders;290-319.99
F515;307;Eating disorders;290-319.99
F500;307;Eating disorders;290-319.99
F501;307;Eating disorders;290-319.99
F503;307;Eating disorders;290-319.99
F510;307;Eating disorders;290-319.99
F508;307;Eating disorders;290-319.99
F518;307;Eating disorders;290-319.99
F458;307;Eating disorders;290-319.99
F988;307;Eating disorders;290-319.99
F504;307;Eating disorders;290-319.99
F983;307;Eating disorders;290-319.99
F989;307;Eating disorders;290-319.99
F505;307;Eating disorders;290-319.99
F952;307;Eating disorders;290-319.99
F982;307;Eating disorders;290-319.99
F512;307;Eating disorders;290-319.99
F981;307;Eating disorders;290-319.99
F980;307;Eating disorders;290-319.99
F511;307;Eating disorders;290-319.99
F514;307;Eating disorders;290-319.99
F513;307;Eating disorders;290-319.99
F984;307;Eating disorders;290-319.99
F985;307;Eating disorders;290-319.99
F98;307;Eating disorders;290-319.99
F50;307;Eating disorders;290-319.99
F51;307;Eating disorders;290-319.99
F95;307;Eating disorders;290-319.99
F509;307;Eating disorders;290-319.99
F509;307;Eating disorders;290-319.99
F519;307;Eating disorders;290-319.99
F959;307;Eating disorders;290-319.99
F958;307;Eating disorders;290-319.99
F454;307;Eating disorders;290-319.99
F642;302;Sexual and gender identity disorders;290-319.99
F650;302;Sexual and gender identity disorders;290-319.99
F524;302;Sexual and gender identity disorders;290-319.99
F652;302;Sexual and gender identity disorders;290-319.99
F653;302;Sexual and gender identity disorders;290-319.99
F659;302;Sexual and gender identity disorders;290-319.99
F661;302;Sexual and gender identity disorders;290-319.99
F527;302;Sexual and gender identity disorders;290-319.99
F522;302;Sexual and gender identity disorders;290-319.99
F651;302;Sexual and gender identity disorders;290-319.99
F649;302;Sexual and gender identity disorders;290-319.99
F520;302;Sexual and gender identity disorders;290-319.99
F656;302;Sexual and gender identity disorders;290-319.99
F523;302;Sexual and gender identity disorders;290-319.99
F658;302;Sexual and gender identity disorders;290-319.99
F648;302;Sexual and gender identity disorders;290-319.99
F668;302;Sexual and gender identity disorders;290-319.99
F528;302;Sexual and gender identity disorders;290-319.99
F654;302;Sexual and gender identity disorders;290-319.99
F669;302;Sexual and gender identity disorders;290-319.99
F521;302;Sexual and gender identity disorders;290-319.99
F660;302;Sexual and gender identity disorders;290-319.99
F662;302;Sexual and gender identity disorders;290-319.99
F641;302;Sexual and gender identity disorders;290-319.99
F526;302;Sexual and gender identity disorders;290-319.99
F655;302;Sexual and gender identity disorders;290-319.99
F65;302;Sexual and gender identity disorders;290-319.99
F66;302;Sexual and gender identity disorders;290-319.99
F52;302;Sexual and gender identity disorders;290-319.99
F640;302;Sexual and gender identity disorders;290-319.99
F529;302;Sexual and gender identity disorders;290-319.99
F64;302;Sexual and gender identity disorders;290-319.99
F940;309;Adjustment reaction;290-319.99
F930;309;Adjustment reaction;290-319.99
F432;309;Adjustment reaction;290-319.99
F94;309;Adjustment reaction;290-319.99
F93;309;Adjustment reaction;290-319.99
F064;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F060;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F050;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F059;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F067;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F061;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F062;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F065;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F063;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F058;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
R410;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F066;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F06;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F05;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
R41;293;Transient mental disorders due to conditions classified elsewhere;290-319.99
F070;310;Specific nonpsychotic mental disorders due to brain damage;290-319.99
F072;310;Specific nonpsychotic mental disorders due to brain damage;290-319.99
F078;310;Specific nonpsychotic mental disorders due to brain damage;290-319.99
F071;310;Specific nonpsychotic mental disorders due to brain damage;290-319.99
F079;310;Specific nonpsychotic mental disorders due to brain damage;290-319.99
F07;310;Specific nonpsychotic mental disorders due to brain damage;290-319.99
F220;297;Paranoid states (Delusional disorders);290-319.99
F24;297;Paranoid states (Delusional disorders);290-319.99
F228;297;Paranoid states (Delusional disorders);290-319.99
F229;297;Paranoid states (Delusional disorders);290-319.99
F22;297;Paranoid states (Delusional disorders);290-319.99
F340;301;Personality disorders;290-319.99
F607;301;Personality disorders;290-319.99
F600;301;Personality disorders;290-319.99
F605;301;Personality disorders;290-319.99
F602;301;Personality disorders;290-319.99
F620;301;Personality disorders;290-319.99
F621;301;Personality disorders;290-319.99
F629;301;Personality disorders;290-319.99
F61;301;Personality disorders;290-319.99
F628;301;Personality disorders;290-319.99
F608;301;Personality disorders;290-319.99
F688;301;Personality disorders;290-319.99
F609;301;Personality disorders;290-319.99
F69;301;Personality disorders;290-319.99
F606;301;Personality disorders;290-319.99
F681;301;Personality disorders;290-319.99
F603;301;Personality disorders;290-319.99
F60;301;Personality disorders;290-319.99
F62;301;Personality disorders;290-319.99
F34;301;Personality disorders;290-319.99
F604;301;Personality disorders;290-319.99
F601;301;Personality disorders;290-319.99
F341;300;Anxiety, dissociative and somatoform disorders;290-319.99
F411;300;Anxiety, dissociative and somatoform disorders;290-319.99
F451;300;Anxiety, dissociative and somatoform disorders;290-319.99
F480;300;Anxiety, dissociative and somatoform disorders;290-319.99
F450;300;Anxiety, dissociative and somatoform disorders;290-319.99
F449;300;Anxiety, dissociative and somatoform disorders;290-319.99
F440;300;Anxiety, dissociative and somatoform disorders;290-319.99
F446;300;Anxiety, dissociative and somatoform disorders;290-319.99
F445;300;Anxiety, dissociative and somatoform disorders;290-319.99
